,Name,Rating,Number of Ratings,Longitude,Latitude,neighborhood,restaurant,meal_takeaway,meal_delivery,cafe,food,bakery,Weighted Rating
214,Burger King - Bin Turkey,3.7,681.0,46.619087,24.746228,حي جرير,1,0,0,0,1,0,2519.7000000000003
215,Burger King - Exit 28,3.8,1294.0,46.6212052,24.5681274,حي جرير,1,0,0,0,1,0,4917.2
216,KFC,3.6,1311.0,46.713719,24.6382089,حي جرير,1,0,0,0,1,0,4719.6
217,TOKYO,4.3,7203.0,46.68670509999999,24.7181459,حي جرير,1,0,0,0,1,0,30972.899999999998
218,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,حي جرير,1,0,0,0,1,0,7077.0
219,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,حي جرير,1,1,1,0,1,0,4096.0
220,Al Romansiah,4.2,9584.0,46.7069578,24.5620929,حي جرير,1,0,0,0,1,0,40252.8
221,Subway,3.7,452.0,46.7834343,24.7289012,حي جرير,1,0,0,0,1,0,1672.4
222,Herfy,3.8,896.0,46.6736126,24.7609124,حي جرير,1,0,0,0,1,0,3404.7999999999997
223,برجر كاسل,4.1,1057.0,46.6345087,24.714561,حي جرير,1,0,0,0,1,0,4333.7
224,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,حي جرير,1,0,0,0,1,0,19042.8
225,Al Tazaj,3.6,4796.0,46.6443952,24.6002206,حي جرير,1,0,0,0,1,0,17265.600000000002
226,McDonald's,3.7,2042.0,46.640038,24.598766,حي جرير,1,0,0,0,1,0,7555.400000000001
227,Subway,3.8,341.0,46.65607869999999,24.608878,حي جرير,1,0,0,0,1,0,1295.8
228,McDonald's,3.9,3568.0,46.794646,24.713222,حي جرير,1,0,0,0,1,0,13915.199999999999
229,Herfy,3.5,746.0,46.675,24.6755556,حي جرير,1,0,0,0,1,0,2611.0
230,KFC,3.8,1219.0,46.6889225,24.62540690000001,حي جرير,1,0,0,0,1,0,4632.2
231,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,حي جرير,1,0,0,0,1,0,23993.5
232,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,حي جرير,1,0,0,0,1,0,4477.0
233,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,حي جرير,1,0,0,0,1,0,34246.8
234,Al Romansiah,4.2,9460.0,46.792399,24.695811,حي جرير,1,0,0,0,1,0,39732.0
