,Name,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood,Type_1,Type_2,Type_3,Type_4
85,Al Nafoura Restaurant,3.3,1007.0,46.6251475,24.5884052,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
86,Diet Center - دايت سنتر,4.1,74.0,46.784153,24.681048,"['health', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,health, grocery_or_supermarket, store, restaurant
87,Herfy,3.7,380.0,46.6575254,24.7559561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
88,KFC,3.6,1452.0,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
89,Kudu - Al Seteen Palace,3.9,2399.0,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, meal_delivery, meal_takeaway, point_of_interest
90,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,meal_delivery, restaurant, point_of_interest, food
91,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
92,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,719.0,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,meal_delivery, restaurant, food, point_of_interest
93,Burger King - Bin Turkey,3.7,681.0,46.619087,24.746228,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
94,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,790.0,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,meal_delivery, restaurant, food, point_of_interest
95,Burger King - Exit 28,3.8,1294.0,46.6212052,24.5681274,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
