,Name,Score,Category,Price_Range
1840,23. Aleppo,9.0,Middle Eastern,$
1841,1. The California Burger,9.4,Burgers,$
1842,2. LPM,9.3,French,$$$
1843,3. Myazū,9.3,Japanese,$$$$
1844,4. Boga Superfoods,9.2,Sandwich Spot,$
1845,5. Signor Sassi,9.2,Italian,$$
1846,6. BLANCA,9.2,Pizza,$
1847,7. Flour & Firewood,9.2,Bakery,$
1848,8. مقصف Muqsaf 90,9.2,Breakfast,$
1849,9. Fawal Alafrah,9.1,Breakfast,$
1850,10. FISHFACE,9.1,Poke Restaurant,$$
1851,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1852,12. San Carlo Cicchetti,9.1,Italian,$
1853,13. Urth Caffé,9.1,Café,$$
1854,14. BACO,9.1,Asian,$
1855,15. TRIESTE,9.1,Café,$$$$
1856,16. PORTERHOUSE,9.0,Steakhouse,$
1857,17. ‏Ajam Coffee,9.0,Café,$
1858,18. Urth caffé,9.0,Food Court,$$$
1859,19. WAGYU,9.0,Burgers,$$
1860,20. Fuchsia,9.0,Armenian,$
1861,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1862,22. Burger Boutique,9.0,Burgers,$
1863,23. Aleppo,9.0,Middle Eastern,$
1864,1. The California Burger,9.4,Burgers,$
1865,2. LPM,9.3,French,$$$
1866,3. Myazū,9.3,Japanese,$$$$
1867,4. Boga Superfoods,9.2,Sandwich Spot,$
1868,5. Signor Sassi,9.2,Italian,$$
1869,6. BLANCA,9.2,Pizza,$
1870,7. Flour & Firewood,9.2,Bakery,$
1871,8. مقصف Muqsaf 90,9.2,Breakfast,$
1872,9. Fawal Alafrah,9.1,Breakfast,$
1873,10. FISHFACE,9.1,Poke Restaurant,$$
1874,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1875,12. San Carlo Cicchetti,9.1,Italian,$
1876,13. Urth Caffé,9.1,Café,$$
1877,14. BACO,9.1,Asian,$
1878,15. TRIESTE,9.1,Café,$$$$
1879,16. PORTERHOUSE,9.0,Steakhouse,$
1880,17. ‏Ajam Coffee,9.0,Café,$
1881,18. Urth caffé,9.0,Food Court,$$$
1882,19. WAGYU,9.0,Burgers,$$
