,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
643,8. Offwhite Inn,9.2,Restaurant,$,0,25
644,9. Dunkin' Donuts,9.2,Donuts,$,0,9
645,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
646,11. dr.CAFE COFFEE,9.1,Café,$,0,8
647,12. La Casa Pasta,9.1,Italian,$,0,18
648,13. CLAY,9.1,Café,$,0,8
649,14. Boga,9.0,Sandwich Spot,$,0,27
650,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
651,16. Dunkin Donuts,9.0,Donuts,$,0,9
652,17. Dunkin' Donuts,9.0,Donuts,$,0,9
653,18. Dunkin Donuts,9.0,Donuts,$,0,9
654,1. ساين,9.6,Burgers,$,0,7
655,2. Al Hatab Bakery,9.5,Bakery,$,0,4
656,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
657,4. Urth Caffé,9.2,Café,$,0,8
658,5. BLANCA,9.2,Pizza,$$,1,23
659,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
660,7. ALBAIK,9.2,Fried Chicken,$,0,16
661,8. Offwhite Inn,9.2,Restaurant,$,0,25
662,9. Dunkin' Donuts,9.2,Donuts,$,0,9
663,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
664,11. dr.CAFE COFFEE,9.1,Café,$,0,8
665,12. La Casa Pasta,9.1,Italian,$,0,18
666,13. CLAY,9.1,Café,$,0,8
667,14. Boga,9.0,Sandwich Spot,$,0,27
668,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
669,16. Dunkin Donuts,9.0,Donuts,$,0,9
670,17. Dunkin' Donuts,9.0,Donuts,$,0,9
671,18. Dunkin Donuts,9.0,Donuts,$,0,9
672,1. ساين,9.6,Burgers,$,0,7
673,2. Al Hatab Bakery,9.5,Bakery,$,0,4
674,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
675,4. Urth Caffé,9.2,Café,$,0,8
676,5. BLANCA,9.2,Pizza,$$,1,23
677,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
678,7. ALBAIK,9.2,Fried Chicken,$,0,16
679,8. Offwhite Inn,9.2,Restaurant,$,0,25
680,9. Dunkin' Donuts,9.2,Donuts,$,0,9
681,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
682,11. dr.CAFE COFFEE,9.1,Café,$,0,8
683,12. La Casa Pasta,9.1,Italian,$,0,18
