,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types
134,Kudu - Al Rayyan,9200 06999,3.8,1803,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']"
135,Dominos,9200 12345,3.8,639,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
136,Derati Restaurants & Kitchens,9200 08273,3.8,994,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']"
137,Hardee's,9200 01213,3.3,827,46.6436339,24.6008518,"['restaurant', 'point_of_interest', 'food', 'establishment']"
138,KFC,9200 21111,3.5,975,46.6441676,24.6004069,"['restaurant', 'food', 'point_of_interest', 'establishment']"
139,Kudu - Al Malaz,9200 06999,3.9,1944,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
140,Mama Noura,011 266 6623,4.1,11464,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']"
141,قصر الهند,011 278 2394,3.8,6168,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']"
142,Herfy,9200 01111,3.8,1376,46.6983362,24.6940569,"['restaurant', 'food', 'point_of_interest', 'establishment']"
143,Al Nafoura Restaurant,011 267 0815,3.3,1007,46.6251475,24.5884052,"['restaurant', 'point_of_interest', 'food', 'establishment']"
144,Al Jalab Restaurant,011 450 7979,4.3,1543,46.6870006,24.7337823,"['restaurant', 'point_of_interest', 'food', 'establishment']"
145,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,011 449 6563,3.9,790,46.63085969999999,24.5802744,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
146,Kudu - Al Seteen Palace,9200 06999,3.9,2399,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
147,Burger King - Exit 28,,3.8,1294,46.6212052,24.5681274,"['restaurant', 'food', 'point_of_interest', 'establishment']"
148,Diet Center - دايت سنتر,9200 17373,4.1,74,46.784153,24.681048,"['health', 'restaurant', 'point_of_interest', 'grocery_or_supermarket', 'store', 'food', 'establishment']"
