,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
146,مطعم تميز الوطن,057 068 2839,,,44.4182424,24.5167443,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
147,مطبخ العربي,055 487 0369,,,44.4182424,24.5167443,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
148,Bagar ciff,,,,44.4182424,24.5167443,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
149,Al Dawadhmi,,5.0,3.0,44.4182424,24.5167443,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
150,مطعم صياد اللؤلؤ,,,,44.4182424,24.5167444,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
151,اسماك الخليج,,,,44.4182424,24.5167444,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
152,Muhammad abdurehman restaurant,,,,44.4182424,24.5167444,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
153,بوفيه قوه الكبده,,,,44.4182424,24.5167444,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
154,نولا بيتزاريا Nola Pizzeria,050 333 6614,4.2,473.0,44.39895019999999,24.5099075,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
155,مطاعم ومطابخ الفرسان,050 005 6343,4.3,562.0,44.41626489999999,24.51937420000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
156,مطاعم البستان البخاري فرع الوحيد في الدوادمي,050 161 0526,4.2,381.0,44.3986084,24.50898969999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
157,فوال صباح الخير,,4.4,30.0,44.41732499999999,24.5204385,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
158,مطعم السلطان Alsultan restaurant,011 644 4445,3.8,193.0,44.3972042,24.5081067,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
159,ثلاجة إطعام,,,,44.3963613,24.511048,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
160,مقصف ام سعد,,5.0,4.0,44.4134327,24.5236685,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
161,Layali Al Sham Restaurant,011 644 1300,3.7,85.0,44.4177349,24.5228312,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
162,بوفيه زمزم,,3.6,24.0,44.4188375,24.5221754,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
163,كاتشي لاونج,053 868 8451,4.0,107.0,44.41699239999999,24.5234864,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
164,مطعم 22,,5.0,2.0,44.4201684,24.5220666,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
165,فطائر وصايه,011 644 2022,3.9,39.0,44.4197631,24.522963,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
166,بيتزا كونا,050 587 6480,4.3,23.0,44.42396019999999,24.5176284,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
167,بوفية ركن هلا,,5.0,1.0,44.4239715,24.5176751,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
168,مطعم قرص وسمن,056 493 8000,4.1,36.0,44.4202704,24.5229495,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
169,حلويات مذاق الحلا,050 556 0901,3.6,8.0,44.4205791,24.5230397,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
170,بوفية ابو عنتر,055 665 1928,4.4,21.0,44.393192,24.5059384,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
171,مطعم زاد قمرنا,,,,44.3978957,24.524709,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
172,مطعم الحنيذ المختص,053 616 9525,3.8,68.0,44.39773950000001,24.5246681,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
173,بوفية الشباب,050 216 5770,3.7,48.0,44.4214438,24.5240864,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
174,Jamil Al-Bukhari Restaurant,055 224 4129,3.7,365.0,44.4217617,24.5241179,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
175,بوفيه سكة سفرنا,,,,44.4142541,24.5281644,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
176,Anab roman restaurant,011 644 0111,4.1,168.0,44.3920538,24.5053535,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
177,Labiba shawarma,050 952 8882,4.5,331.0,44.3919573,24.5052942,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
178,بوفية حياة عدن لتقديم الوجبات السريعة,053 091 7688,4.7,21.0,44.3966659,24.5253745,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
179,مطعم قارب البحار للمأكولات البحرية,050 942 0280,3.9,17.0,44.39111739999999,24.5048921,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
180,فندق ميرا,9200 08155,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الخليج
181,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الخليج
