,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
170,Pool Grill,02 27916879,4.2,76.0,31.2294563,30.03593519999999,"['bar', 'night_club', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
171,فطائر بيتزا عرفه,02 23610174,4.1,892.0,31.2407149,30.0327792,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
172,Bull's Eye Pub & Restaurant,02 37616888,4.2,376.0,31.1983337,30.0448837,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
173,Hadramawt,02 25255500,4.1,1139.0,31.2527495,29.9627309,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
174,Akher Saa,02 25753521,4.0,8311.0,31.2437687,30.0536264,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",حي الورود
175,Country Burger,,4.0,3.0,31.28253,29.976382,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
176,مطعم الشعب,02 24454490,4.0,302.0,31.2681984,30.0628359,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
177,بيتزا وفطائرا المهندسين,010 03519052,4.2,1948.0,31.19171740000001,30.0665218,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
178,Okashi,02 23651234,3.1,14.0,31.2269541,30.034745,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
179,Peking,02 33366734,4.3,1167.0,31.1984722,30.046903,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
180,فندق ميرا,9200 08155,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي المرسلات
181,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات
182,Luthan Hotel and Spa,011 480 7799,4.0,423.0,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات
183,Dining Hall,011 467 5591,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات
184,Sushi Yoshi,011 812 0055,4.0,1721.0,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات
185,Najd Village,9200 33511,3.9,11310.0,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي المرسلات
186,Wooden Bakery,050 133 8321,4.3,10550.0,46.7226815,24.6941192,"['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي المرسلات
